,0
JD,2459898
Date,11-14-2022
LST Range,23.087 -- 9.033 hours
X-Engine Status,Y Y Y Y Y Y Y Y 
Number of Files,1848
Total Number of Antennas,201
 ,
OPERATIONAL STATUS SUMMARY,
Antenna A Priori Status Count,dish_maintenance: 7 dish_ok: 1 RF_maintenance: 54 RF_ok: 19 digital_ok: 96 not_connected: 24
Commanded Signal Source,None
Antennas in Commanded State (reported),0 / 201 (0.0%)
Antennas in Commanded State (observed),0 / 201 (0.0%)
Cross-Polarized Antennas,
Total Number of Nodes,18
Nodes Registering 0s,N20
Nodes Not Correlating,
  ,
NIGHTLY ANALYSIS SUMMARY,
Ant Metrics Done?,Y
Ant Metrics Flagged Antennas,63 / 201 (31.3%)
Auto Metrics Done?,Y
Auto Metrics Flagged Antennas,128 / 201 (63.7%)
Redcal Done?,N
Never Flagged Antennas,73 / 201 (36.3%)
A Priori Good Antennas Flagged,"54 / 96 total a priori good antennas: 3, 7, 9, 19, 21, 29, 30, 31, 37, 38, 45, 51, 53, 54, 55, 56, 59, 68, 71, 81, 84, 86, 93, 94, 101, 103, 108, 109, 111, 117, 121, 122, 123, 130, 136, 140, 142, 143, 158, 161, 164, 165, 167, 170, 181, 183, 184, 185, 186, 187, 189, 190, 191, 202"
A Priori Bad Antennas Not Flagged,"31 / 105 total a priori bad antennas: 4, 35, 43, 46, 48, 49, 61, 62, 64, 79, 82, 89, 90, 95, 115, 120, 125, 132, 137, 138, 139, 148, 149, 168, 207, 220, 221, 238, 324, 325, 329"
