,0
JD,2459891
Date,11-7-2022
LST Range,22.620 -- 8.576 hours
X-Engine Status,Y Y Y Y Y Y Y Y 
Number of Files,1850
Total Number of Antennas,201
 ,
OPERATIONAL STATUS SUMMARY,
Antenna A Priori Status Count,dish_maintenance: 7 dish_ok: 1 RF_maintenance: 54 RF_ok: 19 digital_ok: 96 not_connected: 24
Commanded Signal Source,None
Antennas in Commanded State (reported),0 / 201 (0.0%)
Antennas in Commanded State (observed),0 / 201 (0.0%)
Cross-Polarized Antennas,
Total Number of Nodes,18
Nodes Registering 0s,N20
Nodes Not Correlating,
  ,
NIGHTLY ANALYSIS SUMMARY,
Ant Metrics Done?,Y
Ant Metrics Flagged Antennas,67 / 201 (33.3%)
Auto Metrics Done?,Y
Auto Metrics Flagged Antennas,132 / 201 (65.7%)
Redcal Done?,N
Never Flagged Antennas,69 / 201 (34.3%)
A Priori Good Antennas Flagged,"56 / 96 total a priori good antennas: 3, 7, 19, 29, 37, 38, 44, 45, 51, 53, 54, 55, 56, 59, 68, 71, 81, 84, 85, 86, 93, 94, 101, 103, 108, 109, 111, 117, 121, 122, 123, 129, 130, 136, 140, 142, 143, 144, 158, 161, 162, 164, 165, 167, 169, 170, 181, 183, 184, 185, 186, 187, 189, 190, 191, 202"
A Priori Bad Antennas Not Flagged,"29 / 105 total a priori bad antennas: 35, 43, 46, 48, 49, 61, 62, 64, 74, 79, 82, 89, 95, 115, 120, 125, 132, 137, 139, 148, 149, 168, 207, 220, 221, 238, 324, 325, 333"
