,0
JD,2459941
Date,12-27-2022
LST Range,0.952 -- 10.909 hours
X-Engine Status,Y Y Y Y Y Y Y Y 
Number of Files,1850
Total Number of Antennas,201
 ,
OPERATIONAL STATUS SUMMARY,
Antenna A Priori Status Count,dish_maintenance: 9 dish_ok: 1 RF_maintenance: 54 RF_ok: 19 digital_ok: 94 not_connected: 24
Commanded Signal Source,None
Antennas in Commanded State (reported),0 / 201 (0.0%)
Antennas in Commanded State (observed),0 / 201 (0.0%)
Cross-Polarized Antennas,
Total Number of Nodes,18
Nodes Registering 0s,
Nodes Not Correlating,
  ,
NIGHTLY ANALYSIS SUMMARY,
Ant Metrics Done?,Y
Ant Metrics Flagged Antennas,65 / 201 (32.3%)
Auto Metrics Done?,Y
Auto Metrics Flagged Antennas,130 / 201 (64.7%)
Redcal Done?,N
Never Flagged Antennas,71 / 201 (35.3%)
A Priori Good Antennas Flagged,"56 / 94 total a priori good antennas: 3, 7, 9, 10, 15, 16, 19, 21, 29, 30, 37, 38, 40, 42, 53, 54, 55, 56, 71, 72, 81, 86, 94, 98, 99, 100, 101, 103, 109, 111, 116, 121, 122, 123, 128, 129, 130, 136, 140, 143, 146, 158, 161, 164, 165, 167, 168, 170, 181, 182, 183, 185, 187, 189, 191, 202"
A Priori Bad Antennas Not Flagged,"33 / 107 total a priori bad antennas: 4, 22, 43, 46, 49, 61, 62, 64, 74, 77, 79, 82, 89, 90, 95, 115, 125, 126, 132, 137, 139, 207, 211, 220, 222, 237, 238, 239, 261, 324, 325, 329, 333"
