,0
JD,2459932
Date,12-18-2022
LST Range,7.459 -- 10.315 hours
X-Engine Status,Y Y Y Y N N Y Y 
Number of Files,531
Total Number of Antennas,201
 ,
OPERATIONAL STATUS SUMMARY,
Antenna A Priori Status Count,dish_maintenance: 9 dish_ok: 1 RF_maintenance: 54 RF_ok: 19 digital_ok: 94 not_connected: 24
Commanded Signal Source,None
Antennas in Commanded State (reported),0 / 201 (0.0%)
Antennas in Commanded State (observed),0 / 201 (0.0%)
Cross-Polarized Antennas,
Total Number of Nodes,18
Nodes Registering 0s,"N11, N18, N19, N20"
Nodes Not Correlating,
  ,
NIGHTLY ANALYSIS SUMMARY,
Ant Metrics Done?,Y
Ant Metrics Flagged Antennas,90 / 201 (44.8%)
Auto Metrics Done?,Y
Auto Metrics Flagged Antennas,148 / 201 (73.6%)
Redcal Done?,N
Never Flagged Antennas,53 / 201 (26.4%)
A Priori Good Antennas Flagged,"57 / 94 total a priori good antennas: 3, 7, 9, 10, 15, 16, 19, 21, 29, 30, 37, 38, 40, 42, 45, 53, 54, 55, 56, 67, 69, 71, 72, 81, 86, 93, 94, 98, 100, 101, 103, 109, 111, 121, 122, 123, 128, 129, 130, 136, 140, 143, 146, 149, 158, 161, 165, 167, 170, 181, 182, 183, 185, 187, 189, 191, 202"
A Priori Bad Antennas Not Flagged,"16 / 107 total a priori bad antennas: 4, 22, 43, 46, 48, 49, 61, 62, 64, 77, 82, 89, 137, 139, 325, 333"
