,0
JD,2459944
Date,12-30-2022
LST Range,1.145 -- 11.107 hours
X-Engine Status,Y Y Y Y Y Y Y Y 
Number of Files,1851
Total Number of Antennas,201
 ,
OPERATIONAL STATUS SUMMARY,
Antenna A Priori Status Count,dish_maintenance: 9 dish_ok: 1 RF_maintenance: 54 RF_ok: 19 digital_ok: 94 not_connected: 24
Commanded Signal Source,None
Antennas in Commanded State (reported),0 / 201 (0.0%)
Antennas in Commanded State (observed),0 / 201 (0.0%)
Cross-Polarized Antennas,
Total Number of Nodes,18
Nodes Registering 0s,
Nodes Not Correlating,
  ,
NIGHTLY ANALYSIS SUMMARY,
Ant Metrics Done?,Y
Ant Metrics Flagged Antennas,68 / 201 (33.8%)
Auto Metrics Done?,Y
Auto Metrics Flagged Antennas,122 / 201 (60.7%)
Redcal Done?,N
Never Flagged Antennas,79 / 201 (39.3%)
A Priori Good Antennas Flagged,"55 / 94 total a priori good antennas: 3, 7, 9, 10, 15, 16, 21, 29, 30, 37, 40, 42, 53, 54, 55, 56, 71, 72, 81, 86, 93, 94, 98, 99, 100, 101, 103, 109, 111, 116, 121, 122, 123, 124, 128, 129, 130, 136, 143, 146, 147, 148, 149, 158, 161, 164, 165, 170, 182, 183, 185, 187, 189, 191, 202"
A Priori Bad Antennas Not Flagged,"40 / 107 total a priori bad antennas: 8, 22, 35, 43, 46, 48, 49, 61, 62, 64, 73, 74, 77, 79, 82, 89, 90, 95, 115, 120, 125, 132, 137, 139, 207, 211, 220, 221, 222, 223, 226, 237, 238, 239, 245, 261, 324, 325, 329, 333"
