,0
JD,2459825
Date,9-2-2022
LST Range,18.293 -- 20.293 hours
X-Engine Status,Y Y Y Y Y Y Y Y 
Number of Files,372
Total Number of Antennas,147
 ,
OPERATIONAL STATUS SUMMARY,
Antenna A Priori Status Count,dish_maintenance: 3 RF_maintenance: 32 RF_ok: 11 digital_maintenance: 3 digital_ok: 95 not_connected: 3
Commanded Signal Source,
Antennas in Commanded State,0 / 147 (0.0%)
Cross-Polarized Antennas,
Total Number of Nodes,15
Nodes Registering 0s,N18
Nodes Not Correlating,"N02, N04, N10, N12"
  ,
NIGHTLY ANALYSIS SUMMARY,
Ant Metrics Done?,Y
Ant Metrics Flagged Antennas,75 / 147 (51.0%)
Auto Metrics Done?,Y
Auto Metrics Flagged Antennas,106 / 147 (72.1%)
Redcal Done?,Y
Redcal Flagged Antennas,0 / 147 (0.0%)
Never Flagged Antennas,19 / 147 (12.9%)
A Priori Good Antennas Flagged,"77 / 95 total a priori good antennas: 3, 7, 9, 10, 15, 16, 17, 19, 20, 21, 29, 30, 31, 40, 41, 42, 51, 53, 54, 55, 56, 68, 69, 71, 72, 73, 84, 86, 88, 91, 93, 94, 99, 101, 103, 105, 106, 107, 108, 109, 111, 112, 117, 118, 121, 122, 123, 127, 128, 129, 130, 140, 141, 142, 143, 156, 157, 158, 160, 161, 164, 165, 167, 169, 170, 176, 177, 178, 179, 181, 183, 184, 185, 187, 189, 190, 191"
A Priori Bad Antennas Not Flagged,1 / 52 total a priori bad antennas: 90
